NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
Ausar Thompson,Det,*,G-F,22.1,39,21.4,19,16,86,0.581,252,0.599,32,0.219,0.569,0.579,9.6,4.9,2.3,1.8,0.5,1.4,14.5,11.9,16.8,8.9,114.2,99.3
Moses Moody,Gol,*,G,22.8,52,20.3,18.2,8.1,93,0.753,151,0.53,232,0.388,0.561,0.59,9.6,2.3,1.1,0.5,0.4,0.7,11.9,10.7,13,5.7,117,110.9
Dante Exum,Dal,*,G,29.6,12,18.9,20,12.7,28,0.714,51,0.549,31,0.419,0.579,0.61,9.6,1.8,3.3,0.8,0.3,1,11.3,12.8,14.6,8.1,123.3,111
Julian Strawther,Den,*,G,22.9,60,22.3,17.6,10.7,80,0.825,206,0.534,262,0.359,0.536,0.564,9.5,2.2,1.4,0.6,0.3,0.9,11.7,10.8,13,5.5,109,108.8
Tosan Evbuomwan,Bro,*,F,24,21,23.9,19,15.9,53,0.755,109,0.505,55,0.291,0.482,0.529,9.4,4,1.6,0.8,0.3,1.5,13.5,11,15,6.6,102.8,111.1
Noah Clowney,Bro,*,F-C,20.6,37,23,18.6,11.3,60,0.85,90,0.422,209,0.354,0.498,0.536,9.4,3.9,0.8,0.5,0.5,1,13.4,10.2,14.2,5.4,104.7,108.6
Brice Sensabaugh,Uta,*,F,21.3,48,17.8,21.8,14.8,46,0.913,144,0.549,218,0.385,0.566,0.591,9.4,2.6,1.3,0.6,0.1,1.3,12,10.7,13.2,7.1,108.7,114.8
Isaiah Joe,Okc,*,G,25.7,54,20.7,17.1,5.3,32,0.719,87,0.552,325,0.4,0.59,0.597,9.4,2.5,1.4,0.7,0.1,0.4,11.9,10.8,13.3,6.2,121.7,105.4
Cole Anthony,Orl,*,G,24.8,56,18.2,25.1,16.3,96,0.802,283,0.473,175,0.343,0.489,0.525,9.4,3.1,2.8,0.7,0.4,1.6,12.4,12.2,15.3,9.5,103.9,100.4
Nickeil Alexander-Walker,Min,*,G,26.5,61,25.4,15.8,14.4,74,0.757,181,0.514,277,0.401,0.567,0.586,9.4,3.1,2.5,0.6,0.3,1.3,12.5,11.9,15,6.6,113.9,109.3
Luke Kennard,Mem,*,G,28.7,47,22.1,14.9,13.4,51,0.882,114,0.509,202,0.46,0.625,0.65,9.4,2.9,3.4,0.7,0.1,1,12.2,12.7,15.6,8.2,130.4,114.3
Zach Edey,Mem,*,C,22.8,46,20.7,16.8,17.9,88,0.693,254,0.63,43,0.349,0.614,0.634,9.3,7.8,0.9,0.6,1.2,1.4,17,10.1,17.9,7.8,121.1,101.6
Nick Richards,Pho,*,C,27.3,20,23.2,16.4,18,50,0.8,122,0.598,1,0,0.593,0.641,9.3,9.8,0.6,0.2,1,1.4,19.1,9.9,19.7,6.5,121.2,104.1
Kevin Porter Jr.,Lac,,G-F,24.8,45,19.6,25.6,17.1,76,0.645,301,0.485,106,0.245,0.455,0.476,9.3,3.6,3.2,1,0.2,1.9,12.9,12.5,16.1,9.7,95.9,104.9
Marcus Smart,Was,*,G,31,4,19.8,18.9,20.4,4,0.75,16,0.688,11,0.364,0.63,0.643,9.3,1.5,1.8,1.5,0,1.8,10.8,11,12.5,5.9,105.8,112.4
Jalen Wilson,Bro,*,F,24.3,59,26.8,16.1,12.4,119,0.824,204,0.5,262,0.309,0.48,0.526,9.2,3.5,1.9,0.5,0.1,1.1,12.7,11.1,14.6,5.9,107.6,112.3
Miles McBride,Nyk,*,G,24.5,49,23.6,16.3,7.5,49,0.857,162,0.494,222,0.374,0.533,0.556,9.2,2.4,2.5,0.9,0.2,0.6,11.6,11.7,14.2,6.5,120.1,113.6
Carlton Carrington,Was,*,G,19.6,59,29.3,14.5,15.6,55,0.836,210,0.486,275,0.345,0.504,0.525,9.1,4,3.9,0.7,0.2,1.5,13.1,13,17,7.1,105.4,115.8
Dereck Lively II,Dal,*,C,21.1,32,24,13.7,18,69,0.638,177,0.701,0,0,0.701,0.704,9.1,7.8,2.6,0.5,1.7,1.2,17,11.8,19.6,9.5,138.3,103.5
